year,month,day_type,origin,destination,riders
2019,1,Weekday,RM,RM,17.904761904761905
2019,1,Weekday,EN,RM,110.04761904761905
2019,1,Weekday,EP,RM,82.0952380952381
2019,1,Weekday,NB,RM,65.71428571428571
2019,1,Weekday,BK,RM,354.57142857142856
2019,1,Weekday,AS,RM,93.9047619047619
2019,1,Weekday,MA,RM,124.80952380952381
2019,1,Weekday,19.0,RM,162.95238095238096
2019,1,Weekday,12.0,RM,168.76190476190476
2019,1,Weekday,LM,RM,45.38095238095238
2019,1,Weekday,FV,RM,74.80952380952381
2019,1,Weekday,CL,RM,55.38095238095238
2019,1,Weekday,SL,RM,37.19047619047619
2019,1,Weekday,BF,RM,21.047619047619047
2019,1,Weekday,HY,RM,26.238095238095237
2019,1,Weekday,SH,RM,17.952380952380953
2019,1,Weekday,UC,RM,17.61904761904762
2019,1,Weekday,FM,RM,22.714285714285715
2019,1,Weekday,CN,RM,14.0
2019,1,Weekday,PH,RM,13.571428571428571
2019,1,Weekday,WC,RM,24.952380952380953
2019,1,Weekday,LF,RM,7.095238095238095
2019,1,Weekday,OR,RM,8.571428571428571
2019,1,Weekday,RR,RM,21.047619047619047
2019,1,Weekday,OW,RM,24.714285714285715
2019,1,Weekday,EM,RM,424.3809523809524
2019,1,Weekday,MT,RM,401.1904761904762
2019,1,Weekday,PL,RM,455.4761904761905
2019,1,Weekday,CC,RM,340.76190476190476
2019,1,Weekday,16.0,RM,176.33333333333334
2019,1,Weekday,24.0,RM,179.38095238095238
2019,1,Weekday,GP,RM,49.523809523809526
2019,1,Weekday,BP,RM,63.333333333333336
2019,1,Weekday,DC,RM,51.857142857142854
2019,1,Weekday,CM,RM,14.714285714285714
2019,1,Weekday,CV,RM,5.285714285714286
2019,1,Weekday,ED,RM,14.761904761904763
2019,1,Weekday,NC,RM,4.095238095238095
2019,1,Weekday,WP,RM,15.523809523809524
2019,1,Weekday,SS,RM,11.285714285714286
2019,1,Weekday,SB,RM,18.38095238095238
2019,1,Weekday,SO,RM,55.0
2019,1,Weekday,MB,RM,24.047619047619047
2019,1,Weekday,WD,RM,4.9523809523809526
2019,1,Weekday,OA,RM,13.904761904761905
2019,1,Weekday,WS,RM,15.571428571428571
2019,1,Weekday,ML,RM,0.0
2019,1,Weekday,BE,RM,0.0
2019,1,Weekday,PC,RM,7.571428571428571
2019,1,Weekday,AN,RM,12.666666666666666
2019,1,Weekday,Exits,RM,3973.0476190476184
2019,1,Weekday,RM,EN,114.33333333333333
2019,1,Weekday,EN,EN,21.714285714285715
2019,1,Weekday,EP,EN,77.0
2019,1,Weekday,NB,EN,83.71428571428571
2019,1,Weekday,BK,EN,716.0952380952381
2019,1,Weekday,AS,EN,125.38095238095238
2019,1,Weekday,MA,EN,237.76190476190476
2019,1,Weekday,19.0,EN,449.3809523809524
2019,1,Weekday,12.0,EN,544.047619047619
2019,1,Weekday,LM,EN,92.04761904761905
2019,1,Weekday,FV,EN,100.19047619047619
2019,1,Weekday,CL,EN,107.0952380952381
2019,1,Weekday,SL,EN,55.61904761904762
2019,1,Weekday,BF,EN,35.666666666666664
2019,1,Weekday,HY,EN,62.95238095238095
2019,1,Weekday,SH,EN,22.714285714285715
2019,1,Weekday,UC,EN,35.04761904761905
2019,1,Weekday,FM,EN,38.523809523809526
2019,1,Weekday,CN,EN,26.571428571428573
2019,1,Weekday,PH,EN,19.904761904761905
2019,1,Weekday,WC,EN,27.904761904761905
2019,1,Weekday,LF,EN,7.9523809523809526
2019,1,Weekday,OR,EN,10.857142857142858
2019,1,Weekday,RR,EN,29.80952380952381
2019,1,Weekday,OW,EN,35.523809523809526
2019,1,Weekday,EM,EN,914.8571428571429
2019,1,Weekday,MT,EN,967.0
2019,1,Weekday,PL,EN,866.952380952381
2019,1,Weekday,CC,EN,739.3809523809524
2019,1,Weekday,16.0,EN,285.14285714285717
2019,1,Weekday,24.0,EN,198.76190476190476
2019,1,Weekday,GP,EN,86.85714285714286
2019,1,Weekday,BP,EN,108.47619047619048
2019,1,Weekday,DC,EN,98.14285714285714
2019,1,Weekday,CM,EN,26.80952380952381
2019,1,Weekday,CV,EN,8.238095238095237
2019,1,Weekday,ED,EN,25.095238095238095
2019,1,Weekday,NC,EN,6.571428571428571
2019,1,Weekday,WP,EN,11.047619047619047
2019,1,Weekday,SS,EN,31.428571428571427
2019,1,Weekday,SB,EN,33.80952380952381
2019,1,Weekday,SO,EN,112.76190476190476
2019,1,Weekday,MB,EN,67.33333333333333
2019,1,Weekday,WD,EN,12.333333333333334
2019,1,Weekday,OA,EN,35.0
2019,1,Weekday,WS,EN,39.333333333333336
2019,1,Weekday,ML,EN,0.0
2019,1,Weekday,BE,EN,0.0
2019,1,Weekday,PC,EN,6.095238095238095
2019,1,Weekday,AN,EN,7.0
2019,1,Weekday,Exits,EN,7766.238095238095
2019,1,Weekday,RM,EP,80.04761904761905
2019,1,Weekday,EN,EP,77.66666666666667
2019,1,Weekday,EP,EP,10.714285714285714
2019,1,Weekday,NB,EP,52.714285714285715
2019,1,Weekday,BK,EP,626.5714285714286
