FID,Route,LineType,DayofWeek,Boardings,Year
4,13,Community,Weekday,3023,2006
5,14,Community,Weekday,0,2006
7,16,Community,Weekday,1990,2006
8,17,Community,Weekday,1488,2006
9,18,Community,Weekday,0,2006
10,19,Community,Weekday,1898,2006
17,32,Community,Weekday,10393,2006
19,34,Community,Weekday,3132,2006
22,37,Community,Weekday,2559,2006
24,39,Community,Weekday,5216,2006
27,42,Community,Weekday,0,2006
30,45,Community,Weekday,413,2006
33,48,Community,Weekday,2577,2006
34,49,Community,Weekday,3085,2006
48,65,Community,Weekday,9108,2006
61,88,Community,Weekday,5253,2006
104,13,Community,Saturday,928,2006
105,14,Community,Saturday,0,2006
107,16,Community,Saturday,0,2006
108,17,Community,Saturday,861,2006
109,18,Community,Saturday,0,2006
110,19,Community,Saturday,809,2006
117,32,Community,Saturday,3188,2006
119,34,Community,Saturday,1402,2006
122,37,Community,Saturday,948,2006
124,39,Community,Saturday,3256,2006
127,42,Community,Saturday,0,2006
130,45,Community,Saturday,273,2006
133,48,Community,Saturday,1764,2006
134,49,Community,Saturday,1824,2006
148,65,Community,Saturday,3322,2006
161,88,Community,Saturday,1075,2006
202,13,Community,Sunday,942,2006
203,14,Community,Sunday,0,2006
205,16,Community,Sunday,0,2006
206,17,Community,Sunday,698,2006
207,18,Community,Sunday,0,2006
208,19,Community,Sunday,716,2006
215,32,Community,Sunday,0,2006
217,34,Community,Sunday,0,2006
220,37,Community,Sunday,0,2006
222,39,Community,Sunday,3132,2006
225,42,Community,Sunday,0,2006
228,45,Community,Sunday,286,2006
231,48,Community,Sunday,1251,2006
232,49,Community,Sunday,1473,2006
246,65,Community,Sunday,2363,2006
259,88,Community,Sunday,0,2006
11,22,Core,Weekday,189829,2006
12,23,Core,Weekday,68323,2006
13,25,Core,Weekday,78045,2006
14,26,Core,Weekday,44323,2006
39,55,Core,Weekday,30051,2006
43,60,Core,Weekday,27780,2006
44,61,Core,Weekday,0,2006
45,62,Core,Weekday,33511,2006
47,64,Core,Weekday,34338,2006
49,66,Core,Weekday,61516,2006
51,68,Core,Weekday,56003,2006
52,70,Core,Weekday,69343,2006
53,71,Core,Weekday,22553,2006
54,72,Core,Weekday,35594,2006
55,73,Core,Weekday,24616,2006
